country,prov_name,iso_alpha3,data_year,total_precipitation,spei_index,drought_status,year,spei_Eastern Cape,spei_Free State,spei_Gauteng,spei_KwaZulu-Natal,spei_Limpopo,spei_Mpumalanga,spei_North West,spei_Northern Cape,spei_Western Cape,Total precipitation_Eastern Cape,tot_preci_FreeState,tot_preci_GP,Total precipitation_KwaZulu-Natal,Total precipitation_Limpopo,Total precipitation_Mpumalanga,Total precipitation_North West,Total precipitation_Northern Cape,Total precipitation_Western Cape,gwsa_Eastern Cape,gwsa_Free State,gwsa_Gauteng,gwsa_KwaZulu-Natal,gwsa_Limpopo,gwsa_Mpumalanga,gwsa_North West,gwsa_Northern Cape,gwsa_Western Cape,spei_status_Eastern Cape,spei_status_Free State,spei_status_GP,spei_status_KwaZulu-Natal,spei_status_Limpopo,spei_status_Mpumalanga,spei_status_North West,spei_status_Northern Cape,spei_status_Western Cape
South Africa,Eastern Cape,ZAR,01/06/19,6.051971925,-0.14876176,moderately wet,01/04/02,-1.12,-1.24,-1.14,-1.38,-1.45,-1.12,-1.19,-0.85,-1.16,54.61,34.5,28.13,64.3,20.18,38.93,21.79,19.11,31.27,-1.88,-1.66,1.76,0.49,5.36,2.73,-0.72,-0.47,0.9,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Near normal,Moderate drought
South Africa,Eastern Cape,ZAR,01/07/19,7.693376155,-1.2182086,moderately wet,01/05/02,-0.37,-0.61,-1.09,-1.1,-1.42,-1.27,-0.77,-0.22,-0.13,37.61,51.62,27.94,19.89,5.82,9.05,34.39,27.47,51.9,-0.66,-1.7,1.93,1.3,4.57,2.86,-0.58,-1.03,0.83,Near normal,Near normal,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/08/19,6.70594821,-2.1339202,moderately wet,01/06/02,0.16,0.21,-0.09,-0.22,-0.52,-1.01,-0.12,0.14,0.21,22.29,17.58,27.37,31.16,17.4,15.46,15.33,15.05,29.62,1.18,-4.63,-2.33,2.29,1.15,0.87,-4.29,-1.55,0.25,Near normal,Near normal,Near normal,Near normal,Near normal,Moderate drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/09/19,25.06583205,-1.8710113,moderately wet,01/07/02,1.25,1.14,0.94,1.43,-0.36,-0.33,1.03,1.11,0.97,38.91,5.76,0.52,104.9,9.14,18.22,0.76,5.95,49.48,0.41,-3.44,-1.5,0.79,0.61,0.94,-3.33,-0.38,-0.39,Moderately wet,Moderately wet,Near normal,Moderately wet,Near normal,Near normal,Moderately wet,Moderately wet,Near normal
South Africa,Eastern Cape,ZAR,01/10/19,21.48753867,-2.379693,moderately wet,01/08/02,1.84,1.74,1.02,1.72,-0.67,-0.12,1.3,1.11,0.74,89.6,98.94,33.14,63.74,8.96,23.47,63.8,28.69,44.16,-3.63,1.71,8.66,0.34,9.7,10.01,1.45,-0.77,-2.96,Very wet,Very wet,Moderately wet,Very wet,Near normal,Near normal,Moderately wet,Moderately wet,Near normal
South Africa,Eastern Cape,ZAR,01/11/19,37.17094288,-2.5260303,moderately wet,01/09/02,1.92,1.37,0.27,1.34,-0.73,-0.1,0.93,0.58,0.81,73.2,32.33,14.39,47.71,19.51,28.85,8.63,6.73,34.94,-7.7,-5.17,0.95,-2.88,2.73,3.52,-2.22,-0.47,-1.36,Very wet,Moderately wet,Near normal,Moderately wet,Near normal,Near normal,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/12/19,69.84951298,-2.099648,moderately wet,01/10/02,1.1,0.64,-0.15,-0.32,-0.43,-0.19,0.41,-0.16,0.07,23.97,35.7,50.78,67.39,33.46,58.25,41.52,7.8,14.69,-6.4,-2.85,2.17,-1.19,3.1,4.15,-0.67,0.95,0.26,Moderately wet,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/01/20,116.8120753,-0.91424626,moderately wet,01/11/02,-0.48,-1.13,-1.62,-1.5,-1.26,-1.36,-0.75,-0.62,-0.33,44.28,29.04,31.08,64.16,19.62,47.87,21.67,18.21,15.12,-3.67,-1.46,2.71,-0.16,4.75,4.22,0.05,0.35,0.57,Near normal,Moderate drought,Severe drought,Severe drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/02/20,138.5111136,0.20412557,moderately wet,01/12/02,-0.91,-0.39,-1.27,-1.39,-1.48,-1.31,-0.32,0.03,0.05,100.01,155.56,159.59,126.48,54.76,136.89,96.39,54.27,47.42,-0.5,-1.87,2.31,0.77,5.45,4.86,-1.59,-1.95,0.21,Near normal,Near normal,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/03/20,94.33106532,0.57489157,moderately wet,01/01/03,-0.63,-0.38,-1.29,-1.39,-1.58,-1.69,-0.48,-0.25,0.18,60.57,89.07,119.15,122.57,65.24,120.17,66.28,11.53,16.35,-0.72,-4.92,-1.99,-3.35,2.7,0.34,-4.33,-1.75,-0.08,Near normal,Near normal,Moderate drought,Moderate drought,Severe drought,Severe drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/04/20,75.71577825,0.45259967,moderately wet,01/02/03,-0.65,-0.06,-0.42,-1.07,-1.26,-1.19,-0.1,-0.53,-0.3,79.14,92.36,106.8,125.11,66.99,104.82,85.59,38.55,15.59,0.42,-4.02,-0.62,0.43,5.49,3.65,-4.2,-2.29,0.51,Near normal,Near normal,Near normal,Moderate drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/05/20,5.172528237,0.028899845,moderately wet,01/03/03,-0.5,-0.51,-0.83,-1.48,-1.32,-1.7,-0.64,-0.88,0.58,97.37,84.07,32.41,66.52,41.4,45.13,36.25,23.52,82.09,0.24,-2.69,1.18,3.24,7.28,6.61,-1.33,-0.83,-0.14,Near normal,Near normal,Near normal,Moderate drought,Moderate drought,Severe drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/06/20,2.5752556,-0.39745218,near normal,01/04/03,-0.43,-0.7,-1.36,-1.31,-1.55,-1.8,-1.02,-1.05,0.15,47.55,23.22,10.45,42.22,5.97,16.69,14.98,18.44,21.14,-1.93,-2.73,2.99,5.08,7.34,7.81,-0.19,-1.05,-2.11,Near normal,Near normal,Moderate drought,Moderate drought,Severe drought,Severe drought,Moderate drought,Moderate drought,Near normal
South Africa,Eastern Cape,ZAR,01/07/20,3.954585036,-1.3551016,near normal,01/05/03,0.11,-0.78,-1.65,-1.09,-1.68,-1.93,-1.5,-1.13,0.29,46.85,15.93,1.74,40.88,4.35,12.94,4.18,12.18,42.34,-1.72,-1.14,4.25,5.12,6.93,7.05,1.53,-0.27,-2.48,Near normal,Near normal,Severe drought,Moderate drought,Severe drought,Severe drought,Moderate drought,Moderate drought,Near normal
South Africa,Eastern Cape,ZAR,01/08/20,12.80950015,-0.80810034,near normal,01/06/03,-0.21,-1.28,-1.72,-0.44,-1.44,-1.15,-1.56,-1.44,-0.8,10.9,4.63,13.75,34.33,23.4,16.71,5.85,0.18,6.74,1.06,0.43,4.6,7.21,4.89,7,2.93,2.29,0.89,Near normal,Moderate drought,Severe drought,Near normal,Moderate drought,Moderate drought,Severe drought,Moderate drought,Near normal
Botswana,Free State,BOT,01/06/19,0.600599328,0.50992703,near normal,01/07/03,-0.1,-0.78,-0.93,-0.03,-0.27,-0.31,-0.88,-1.17,-0.85,5.93,0.44,1.89,9.91,1.66,3.42,0.29,0.77,13.21,2.56,0.98,5.42,6.6,6.34,6.64,2.94,2.1,1.83,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Moderate drought,Near normal
Botswana,Free State,BOT,01/07/19,0.924510113,-2.1442337,near normal,01/08/03,-0.5,-0.3,0.12,0.04,0.14,0.09,-0.26,-0.12,-0.57,29.99,13.58,5.26,24.96,0.63,6.5,2.96,16.74,57.84,2.79,-0.41,2.01,7.46,5.47,6.1,1.46,2.04,1.75,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/08/19,1.685584453,-3.0327706,severe,01/09/03,-0.34,-0.14,-0.5,-0.29,-0.59,-0.52,-0.39,0.52,0.02,35.73,18.38,7.53,49.8,10.42,29.54,5.37,14.18,22.69,1.48,0.27,3.44,6.24,4.6,5.64,0.95,1.02,1.3,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/09/19,3.180085153,-3.3613524,severe,01/10/03,-0.45,-0.92,-0.74,-1.47,-0.65,-1.18,-0.52,0.61,0.55,49.15,26.28,63.8,36.31,59.91,58.39,44.87,18.59,28.37,-0.35,-0.22,1.1,2.67,3.39,3.6,-0.02,0.74,1.46,Near normal,Near normal,Near normal,Moderate drought,Near normal,Moderate drought,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/10/19,3.950362653,-2.8242617,extreme,01/11/03,-1.1,-0.86,-1.17,-1.48,-1.23,-1.28,-0.32,-0.13,-0.66,74.42,96.73,107.21,139.46,51.7,116.21,84.77,37.64,16.16,-1.16,-1.69,-0.58,-2.54,2.13,1.07,-1.51,0.01,1.11,Moderate drought,Near normal,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/11/19,42.16653559,-2.6125424,extreme,01/12/03,-1.09,-1.39,-1.64,-2.05,-1.43,-1.88,-1.01,-0.59,-0.53,55.89,68.05,73.56,91.95,65.77,89.23,49.86,8.76,19.41,1.92,-0.18,-0.01,1.12,3.64,2.74,-0.16,1.06,1.78,Moderate drought,Moderate drought,Severe drought,Extreme drought,Moderate drought,Severe drought,Moderate drought,Near normal,Near normal
Botswana,Free State,BOT,01/12/19,114.837931,-1.7932063,extreme,01/01/04,-0.34,-0.76,-1.27,-0.64,-0.98,-1.05,-0.6,0.08,-0.36,121.48,113.14,130.87,168.89,95.63,165.27,89.72,70.63,29.3,1.98,-0.56,0.14,2,1.49,1.58,-1.16,-0.13,1.94,Near normal,Near normal,Moderate drought,Near normal,Near normal,Moderate drought,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/01/20,89.46277223,-0.9565832,extreme,01/02/04,0.2,-0.64,0.05,0,0.01,0.06,-0.37,0.04,0.08,99.82,92.5,143.42,177.98,99.7,173.41,85.08,35.36,29.17,-0.18,-1.3,-0.11,-0.46,2.64,0.6,-0.34,-0.4,2.16,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/02/20,118.8214957,0.010876956,extreme,01/03/04,0.52,0.25,1.06,0.66,1.06,1.01,0.3,0.19,0.19,85.12,105.39,140.38,119.57,94.04,132.39,119.59,33.2,18.77,-2.55,-1.17,-3.17,-3.12,0.34,0.47,-0.22,-1.09,0.02,Near normal,Near normal,Moderately wet,Near normal,Moderately wet,Moderately wet,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/03/20,81.08354728,0.001498911,extreme,01/04/04,0.21,0.33,1.18,0.21,1.31,1,0.28,0.04,0.48,59.97,43.57,22.97,27.78,27.3,41.58,40.93,55.63,59.72,-3.72,-3.31,-1.44,-1.32,-2.81,-2.75,-0.78,-2.48,-1.71,Near normal,Near normal,Moderately wet,Near normal,Moderately wet,Near normal,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/04/20,89.6803592,0.59302557,extreme,01/05/04,-0.12,0.03,0.42,-0.68,1.39,0.28,-0.12,-0.36,-0.34,5.42,2.3,6.63,12.43,3.6,7.45,4.65,0.99,5.75,-1.38,-1.77,0.42,2.32,0.04,0.14,0.1,-1.06,-0.23,Near normal,Near normal,Near normal,Near normal,Moderately wet,Near normal,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/05/20,0.248818955,0.2824554,extreme,01/06/04,-0.47,-0.76,-0.77,-1.37,-0.5,-0.83,-0.73,-0.53,-0.21,20.9,11.24,10.84,10.43,2.99,9.47,4.18,9.03,44.58,-0.58,-2.9,-0.31,2.78,-2.52,-0.46,-0.72,-0.66,-0.21,Near normal,Near normal,Near normal,Moderate drought,Near normal,Near normal,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/06/20,6.069314661,0.092507266,extreme,01/07/04,-0.42,-0.84,-0.34,0.6,-0.31,0.38,-1.13,-1.56,-0.82,29.42,9.75,11.61,61.17,15.91,39.14,3.54,3.82,26.34,0.68,-1.49,0.68,2.74,-1.34,0.6,0.74,1.31,1.66,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Moderate drought,Severe drought,Near normal
Botswana,Free State,BOT,01/07/20,1.450736826,-1.3558751,moderate ,01/08/04,-0.18,-0.29,-0.13,0.55,-0.45,0.24,-0.85,-0.87,-0.14,25.44,18.55,14.26,27.1,10.44,14.51,7.53,4.48,30.96,0.95,-1.26,-0.19,2.56,-1.48,0.2,0.01,0.35,0.83,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/08/20,2.564048927,-0.826298,near normal,01/09/04,1.02,0.45,-0.3,0.69,-0.35,-0.07,-0.11,0.09,-0.37,88.58,37.44,3.91,63.96,4.31,19.32,8.62,21.95,21.95,-0.6,-0.78,0.35,0.85,-1.79,-0.2,-0.14,-0.04,1.44,Moderately wet,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
South Africa,Gauteng,ZAR,01/06/19,0.051719311,0.6994316,near normal,01/10/04,0.28,-0.39,-1.22,-0.81,-0.92,-1.07,-0.62,0.08,0.2,42.73,47.05,43.26,61.97,23.85,48.82,38.69,26.88,54.98,-3.72,-0.98,-0.24,1.37,-2.5,-0.39,0.08,0.75,2.17,Near normal,Near normal,Moderate drought,Near normal,Near normal,Moderate drought,Near normal,Near normal,Near normal
South Africa,Gauteng,ZAR,01/07/19,0.035239762,-2.6057878,near normal,01/11/04,-0.23,-1.03,-1.53,-0.49,-1.59,-0.95,-1.35,-0.9,-0.46,55.99,40.52,77.96,116.04,37.92,114.48,28.13,6.38,7.1,-0.57,1.09,1.01,1.36,-0.77,-0.81,1.59,-0.05,2.61,Near normal,Moderate drought,Severe drought,Near normal,Severe drought,Near normal,Moderate drought,Near normal,Near normal
South Africa,Gauteng,ZAR,01/08/19,0.277010386,-4.478447,severe,01/12/04,-0.8,-1.29,-1.18,-0.79,-1.46,-1.11,-1,-1.45,-0.1,124.68,127.81,164.05,122.12,107.74,159.31,109.15,27.95,36.04,-1.4,-2.13,-2.94,-3.56,-1.68,-4.53,-1.13,0.7,2.73,Near normal,Moderate drought,Moderate drought,Near normal,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Near normal
South Africa,Gauteng,ZAR,01/09/19,6.970735732,-4.4025235,severe,01/01/05,0.01,-0.34,-0.13,0.14,-1.33,-0.55,-0.25,-1.33,-0.76,123.83,163.95,160.27,200.02,85.17,169.01,108.59,50.46,29.89,-3.19,-4.44,-6.9,-6.47,0.16,-5.5,-3.78,-0.45,1.17,Near normal,Near normal,Near normal,Near normal,Moderate drought,Near normal,Near normal,Moderate drought,Near normal
South Africa,Gauteng,ZAR,01/10/19,13.77355663,-2.7157679,extreme,01/02/05,0.56,0.21,0.08,0.18,-0.96,-0.54,0.01,-0.59,-0.07,95.67,85.61,70.21,157.46,38.76,85.15,54.11,38.49,22.02,-2.68,-3.79,-3.55,-4.45,3.47,-2.83,-2.1,-1.16,0.23,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
South Africa,Gauteng,ZAR,01/11/19,138.939012,-2.0248716,extreme,01/03/05,0.08,0.25,-0.1,0.53,-1.1,-0.26,-0.13,-0.3,-0.46,82.62,88.16,71.65,173.43,47.05,93.48,76.29,38.85,22.83,-2.87,-4.56,-4.5,-6.71,2.69,-3.26,-1.62,-0.51,0.98,Near normal,Near normal,Near normal,Near normal,Moderate drought,Near normal,Near normal,Near normal,Near normal
South Africa,Gauteng,ZAR,01/12/19,180.6724063,-0.9845513,moderately wet,01/04/05,-0.19,-0.1,-0.31,0.01,-0.85,-0.5,-0.09,0,0.32,52.91,65.22,76.66,40.3,41.73,66.08,74.27,50.75,66.36,-1.82,-3.98,-2.96,-3.06,4.03,-0.83,-2.04,-1.68,-1.6,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
South Africa,Gauteng,ZAR,01/01/20,117.3738564,0.114896655,moderately wet,01/05/05,-0.04,-0.05,0.01,-0.1,-0.84,-0.47,0.22,0.41,0.54,46.98,23.72,3.48,12.47,3.55,6.57,7.91,27.07,36.08,-0.81,-2.85,-2.18,-0.54,3.25,-0.62,-0.99,-0.95,-2.05,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
South Africa,Gauteng,ZAR,01/02/20,75.71518939,0.33006856,moderately wet,01/06/05,0.08,-0.12,-0.23,-1.12,-1.05,-1.05,0.16,0.6,0.7,13.03,13.05,1.57,21.74,2.67,4.97,2.6,6.98,36.3,0.99,-2.66,-2.18,0.27,1.94,-1.26,-1.09,-0.33,-0.5,Near normal,Near normal,Near normal,Moderate drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
South Africa,Gauteng,ZAR,01/03/20,67.42552856,-0.36106881,moderately wet,01/07/05,-0.63,-0.65,-1.8,-1.07,-2.15,-1.96,-1.48,-0.31,-0.78,3.41,0.63,0.18,5.62,2.07,2.43,0.14,0.83,15.97,0.78,-2.61,-1.51,2.25,1.39,-0.05,-1.1,0.72,-1.49,Near normal,Near normal,Severe drought,Moderate drought,Extreme drought,Severe drought,Moderate drought,Near normal,Near normal
South Africa,Gauteng,ZAR,01/04/20,94.01158505,0.23238313,moderately wet,01/08/05,-0.69,-0.9,-3.49,-0.71,-3.05,-2.86,-2.62,-0.94,-0.87,37.96,35.22,20.34,29.92,4.05,23.51,7.09,8.79,40.03,2.76,-1.84,-3.24,3.77,1.2,0.51,-1.17,0.23,0.56,Near normal,Near normal,Extreme drought,Near normal,Extreme drought,Extreme drought,Extreme drought,Near normal,Near normal
South Africa,Gauteng,ZAR,01/05/20,0.036624487,0.36445516,moderately wet,01/09/05,-1.17,-1.57,-3.77,-1.17,-2.64,-2.63,-2.32,-1.38,-1.21,22.69,9.88,4.23,35.6,2.66,11.17,2.32,1.54,15.68,-0.35,-1.69,-1.67,1.76,1.36,0.21,-1.15,0.16,-0.93,Moderate drought,Severe drought,Extreme drought,Moderate drought,Extreme drought,Extreme drought,Extreme drought,Moderate drought,Moderate drought
South Africa,Gauteng,ZAR,01/06/20,8.549884195,0.6204527,moderately wet,01/10/05,-1.03,-0.84,-2.11,-1.02,-2.33,-2.35,-1.58,-0.47,-0.81,51.92,67.52,23.12,86.11,7.3,44.09,16.64,19.73,19.18,2.39,-0.17,-1.32,2.72,1.82,0.53,0.15,1.1,1.69,Moderate drought,Near normal,Extreme drought,Moderate drought,Extreme drought,Extreme drought,Severe drought,Near normal,Near normal
South Africa,Gauteng,ZAR,01/07/20,0.247161923,-0.97810125,moderately wet,01/11/05,-0.08,-0.44,-1.36,-0.48,-1.7,-1.26,-1.08,-0.43,-0.56,125.57,80.02,129.32,153.89,67.29,137.62,65.61,32.5,43.62,2.6,-0.21,-1.83,-1.67,-0.33,-1.4,0.6,1.34,3.39,Near normal,Near normal,Moderate drought,Near normal,Severe drought,Moderate drought,Moderate drought,Near normal,Near normal
South Africa,Gauteng,ZAR,01/08/20,1.62910138,-0.50580233,moderately wet,01/12/05,-0.21,-0.71,-1.49,-0.8,-1.15,-1.01,-0.92,-0.21,-0.52,31.38,41.96,86.75,72.37,88.19,116.43,55.66,13.68,4.27,1,0.04,-1.64,-0.96,0.78,-0.46,0.4,-0.21,1.34,Near normal,Near normal,Moderate drought,Near normal,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
Namibia,KwaZulu-Natal,NAM,01/06/19,8.610276336,0.47273737,moderately wet,01/01/06,0.79,0.68,0.48,0.28,0.29,0.8,0.28,0.41,-0.16,146.64,206.13,197.2,208.46,143.48,221.34,156.67,81.4,29.06,-0.45,-1.83,-3.58,-1.39,0.18,-2.97,-0.9,-0.73,1.54,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
Namibia,KwaZulu-Natal,NAM,01/07/19,6.11939619,-3.0582101,moderately wet,01/02/06,0.43,1.2,1.07,0.25,0.86,1.13,1.5,0.68,-1.05,132.23,178.17,180.92,163.17,131.5,176.89,199.92,97.86,22.12,-5.02,-6.22,-5.89,-3.93,-2.03,-6.25,-4.43,-1.43,0.65,Near normal,Moderately wet,Moderately wet,Near normal,Near normal,Moderately wet,Very wet,Near normal,Moderate drought
Namibia,KwaZulu-Natal,NAM,01/08/19,22.42588285,-3.619943,moderately wet,01/03/06,0.7,1.69,1.41,0.81,1.22,1.69,1.77,0.71,-0.87,57.33,94.31,109.92,113,121.56,153.85,96.39,33.14,13.32,-2.19,-4.86,-2.98,-3.41,-3.4,-7.29,-3.3,0.12,3.87,Near normal,Very wet,Moderately wet,Near normal,Moderately wet,Very wet,Very wet,Near normal,Near normal
Namibia,KwaZulu-Natal,NAM,01/09/19,30.87674958,-2.6272104,severe,01/04/06,0.19,1.35,0.76,0.73,0.95,1.25,1.77,0.79,-0.55,66.13,67.04,38.45,89.65,12.15,42.12,48.14,50.75,37.77,-3.41,-5.52,0.39,-3.98,-4.59,-7.32,-1.62,-0.95,1.76,Near normal,Moderately wet,Near normal,Near normal,Near normal,Moderately wet,Very wet,Near normal,Near normal
